Distance_km,Fuel_Price,Time_of_Day,Weather,Vehicle_Type,Actual_Fare_PHP
11.23,?100 & up,Off-Peak,Rainy,Single Motor,84
6.35,?80-89,Rush Hour Evening,Sunny,Tricycle,25
9.61,?30-39,Off-Peak,Rainy,Tricycle,30
0.65,?40-49,Rush Hour Morning,Sunny,Single Motor,23
13.19,?50-59,Rush Hour Evening,Sunny,Tricycle,36
2.02,?60-69,Off-Peak,Rainy,Single Motor,39
10.82,?90-99,Rush Hour Morning,Sunny,Single Motor,73
4.23,?20-29,Rush Hour Evening,Sunny,Tricycle,15
12.98,?70-79,Off-Peak,Sunny,Single Motor,82
7.63,?100 & up,Rush Hour Morning,Rainy,Tricycle,41
1.48,?80-89,Off-Peak,Sunny,Single Motor,28
5.96,?30-39,Rush Hour Evening,Sunny,Tricycle,20
14.16,?40-49,Rush Hour Morning,Rainy,Tricycle,41
9.11,?50-59,Off-Peak,Sunny,Single Motor,64
0.72,?60-69,Rush Hour Morning,Rainy,Single Motor,34
13.87,?90-99,Off-Peak,Sunny,Tricycle,42
3.36,?20-29,Rush Hour Evening,Rainy,Tricycle,25
6.81,?70-79,Rush Hour Morning,Sunny,Single Motor,51
11.69,?100 & up,Off-Peak,Sunny,Tricycle,39
2.75,?80-89,Rush Hour Evening,Rainy,Single Motor,46
10.49,?30-39,Off-Peak,Sunny,Tricycle,29
4.57,?40-49,Rush Hour Morning,Sunny,Single Motor,38
12.3,?50-59,Rush Hour Evening,Rainy,Tricycle,45
1.96,?60-69,Off-Peak,Sunny,Single Motor,28
8.39,?90-99,Rush Hour Morning,Rainy,Tricycle,41
5.24,?20-29,Rush Hour Evening,Sunny,Tricycle,17
13.34,?70-79,Off-Peak,Rainy,Single Motor,93
7.27,?100 & up,Rush Hour Morning,Sunny,Single Motor,60
2.33,?80-89,Off-Peak,Rainy,Tricycle,29
11.08,?30-39,Rush Hour Evening,Sunny,Tricycle,30
6.17,?40-49,Rush Hour Morning,Sunny,Single Motor,47
9.95,?50-59,Off-Peak,Rainy,Single Motor,78
0.91,?60-69,Rush Hour Morning,Sunny,Tricycle,17
14.66,?90-99,Rush Hour Evening,Rainy,Tricycle,53
4.09,?20-29,Off-Peak,Sunny,Single Motor,35
12.06,?70-79,Rush Hour Morning,Sunny,Tricycle,36
3.03,?100 & up,Off-Peak,Rainy,Tricycle,41
8.75,?80-89,Rush Hour Evening,Sunny,Single Motor,65
1.69,?30-39,Off-Peak,Sunny,Tricycle,14
10.27,?40-49,Rush Hour Morning,Rainy,Single Motor,77
5.52,?50-59,Rush Hour Evening,Sunny,Tricycle,22
7.79,?60-69,Off-Peak,Rainy,Single Motor,69
13.93,?90-99,Rush Hour Morning,Sunny,Single Motor,87
2.84,?20-29,Off-Peak,Sunny,Tricycle,13
11.4,?70-79,Rush Hour Evening,Rainy,Tricycle,46
4.35,?100 & up,Rush Hour Morning,Sunny,Single Motor,45
9.47,?80-89,Off-Peak,Sunny,Tricycle,33
0.58,?30-39,Rush Hour Evening,Rainy,Single Motor,36
14.88,?40-49,Rush Hour Morning,Sunny,Tricycle,39
6.7,?50-59,Off-Peak,Rainy,Single Motor,64
3.6,?60-69,Rush Hour Morning,Sunny,Single Motor,35
8.12,?90-99,Rush Hour Evening,Rainy,Tricycle,40
1.18,?20-29,Off-Peak,Sunny,Tricycle,13
12.42,?70-79,Rush Hour Morning,Sunny,Single Motor,79
5.01,?100 & up,Off-Peak,Sunny,Tricycle,27
9.83,?80-89,Rush Hour Evening,Rainy,Single Motor,80
2.67,?30-39,Off-Peak,Rainy,Tricycle,24
10.63,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.44,?50-59,Rush Hour Evening,Sunny,Single Motor,50
13.68,?60-69,Off-Peak,Rainy,Single Motor,93
3.21,?90-99,Rush Hour Morning,Sunny,Tricycle,22
0.84,?20-29,Rush Hour Evening,Sunny,Single Motor,28
11.85,?70-79,Off-Peak,Rainy,Tricycle,48
4.78,?100 & up,Rush Hour Morning,Sunny,Tricycle,25
7.38,?80-89,Rush Hour Evening,Sunny,Single Motor,57
1.61,?30-39,Off-Peak,Sunny,Single Motor,25
14.41,?40-49,Rush Hour Morning,Rainy,Tricycle,41
9.25,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.9,?60-69,Off-Peak,Sunny,Single Motor,47
8.96,?90-99,Rush Hour Morning,Rainy,Single Motor,77
2.1,?20-29,Rush Hour Evening,Rainy,Tricycle,23
12.75,?70-79,Off-Peak,Sunny,Tricycle,37
6.29,?100 & up,Rush Hour Morning,Sunny,Single Motor,54
10.01,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.89,?30-39,Off-Peak,Sunny,Tricycle,16
11.56,?40-49,Rush Hour Morning,Sunny,Single Motor,75
7.03,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.31,?60-69,Off-Peak,Sunny,Tricycle,17
13.04,?90-99,Rush Hour Morning,Sunny,Tricycle,40
4.94,?20-29,Rush Hour Evening,Sunny,Single Motor,42
8.67,?70-79,Off-Peak,Rainy,Single Motor,75
5.43,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.58,?80-89,Rush Hour Evening,Sunny,Single Motor,69
2.24,?30-39,Off-Peak,Rainy,Tricycle,24
10.38,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.61,?50-59,Rush Hour Evening,Sunny,Single Motor,51
14.23,?60-69,Off-Peak,Sunny,Tricycle,41
3.42,?90-99,Rush Hour Morning,Rainy,Single Motor,49
0.97,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.2,?70-79,Off-Peak,Rainy,Single Motor,89
4.15,?100 & up,Rush Hour Morning,Sunny,Single Motor,44
7.72,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.85,?30-39,Off-Peak,Sunny,Single Motor,26
13.8,?40-49,Rush Hour Morning,Rainy,Tricycle,41
9.02,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.1,?60-69,Off-Peak,Sunny,Single Motor,43
8.27,?90-99,Rush Hour Morning,Rainy,Single Motor,73
2.52,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.97,?70-79,Off-Peak,Sunny,Tricycle,36
6.87,?100 & up,Rush Hour Morning,Sunny,Single Motor,58
10.77,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.77,?30-39,Off-Peak,Sunny,Tricycle,16
12.56,?40-49,Rush Hour Morning,Sunny,Single Motor,80
7.3,?50-59,Rush Hour Evening,Rainy,Single Motor,67
1.51,?60-69,Off-Peak,Sunny,Tricycle,17
13.4,?90-99,Rush Hour Morning,Sunny,Tricycle,41
4.48,?20-29,Rush Hour Evening,Sunny,Single Motor,39
8.03,?70-79,Off-Peak,Rainy,Single Motor,72
5.67,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.2,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.09,?30-39,Off-Peak,Rainy,Tricycle,24
10.93,?40-49,Rush Hour Morning,Sunny,Tricycle,32
6.13,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.79,?60-69,Off-Peak,Sunny,Tricycle,42
3.09,?90-99,Rush Hour Morning,Rainy,Single Motor,47
0.69,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.87,?70-79,Off-Peak,Rainy,Single Motor,91
4.9,?100 & up,Rush Hour Morning,Sunny,Single Motor,48
7.16,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.42,?30-39,Off-Peak,Sunny,Single Motor,25
13.22,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.47,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.37,?60-69,Off-Peak,Sunny,Single Motor,44
8.62,?90-99,Rush Hour Morning,Rainy,Single Motor,75
2.78,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.1,?70-79,Off-Peak,Sunny,Tricycle,34
6.49,?100 & up,Rush Hour Morning,Sunny,Single Motor,55
10.12,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.32,?30-39,Off-Peak,Sunny,Tricycle,15
12.11,?40-49,Rush Hour Morning,Sunny,Single Motor,78
7.56,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.75,?60-69,Off-Peak,Sunny,Tricycle,17
13.63,?90-99,Rush Hour Morning,Sunny,Tricycle,41
4.2,?20-29,Rush Hour Evening,Sunny,Single Motor,38
8.3,?70-79,Off-Peak,Rainy,Single Motor,73
5.2,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.42,?80-89,Rush Hour Evening,Sunny,Single Motor,68
2.42,?30-39,Off-Peak,Rainy,Tricycle,24
10.53,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.37,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.05,?60-69,Off-Peak,Sunny,Tricycle,40
3.93,?90-99,Rush Hour Morning,Rainy,Single Motor,52
0.61,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.33,?70-79,Off-Peak,Rainy,Single Motor,89
4.01,?100 & up,Rush Hour Morning,Sunny,Single Motor,43
7.96,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.08,?30-39,Off-Peak,Sunny,Single Motor,24
13.09,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.84,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.6,?60-69,Off-Peak,Sunny,Single Motor,45
8.87,?90-99,Rush Hour Morning,Rainy,Single Motor,77
2.3,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.63,?70-79,Off-Peak,Sunny,Tricycle,35
6.74,?100 & up,Rush Hour Morning,Sunny,Single Motor,57
10.98,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.55,?30-39,Off-Peak,Sunny,Tricycle,15
12.91,?40-49,Rush Hour Morning,Sunny,Single Motor,82
7.1,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.25,?60-69,Off-Peak,Sunny,Tricycle,17
13.3,?90-99,Rush Hour Morning,Sunny,Tricycle,41
4.72,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.57,?70-79,Off-Peak,Rainy,Single Motor,75
5.86,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.08,?80-89,Rush Hour Evening,Sunny,Single Motor,66
2.63,?30-39,Off-Peak,Rainy,Tricycle,24
10.04,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.89,?50-59,Rush Hour Evening,Sunny,Single Motor,53
14.58,?60-69,Off-Peak,Sunny,Tricycle,42
3.69,?90-99,Rush Hour Morning,Rainy,Single Motor,51
0.8,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.02,?70-79,Off-Peak,Rainy,Single Motor,88
4.29,?100 & up,Rush Hour Morning,Sunny,Single Motor,45
7.51,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.94,?30-39,Off-Peak,Sunny,Single Motor,27
13.56,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.17,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.74,?60-69,Off-Peak,Sunny,Single Motor,46
8.19,?90-99,Rush Hour Morning,Rainy,Single Motor,72
2.97,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.3,?70-79,Off-Peak,Sunny,Tricycle,35
6.07,?100 & up,Rush Hour Morning,Sunny,Single Motor,53
10.28,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.17,?30-39,Off-Peak,Sunny,Tricycle,14
12.39,?40-49,Rush Hour Morning,Sunny,Single Motor,79
7.93,?50-59,Rush Hour Evening,Rainy,Single Motor,70
1.1,?60-69,Off-Peak,Sunny,Tricycle,17
13.98,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.54,?20-29,Rush Hour Evening,Sunny,Single Motor,40
8.8,?70-79,Off-Peak,Rainy,Single Motor,76
5.06,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.73,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.88,?30-39,Off-Peak,Rainy,Tricycle,24
10.74,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.2,?50-59,Rush Hour Evening,Sunny,Single Motor,49
14.36,?60-69,Off-Peak,Sunny,Tricycle,41
3.51,?90-99,Rush Hour Morning,Rainy,Single Motor,50
0.75,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.68,?70-79,Off-Peak,Rainy,Single Motor,91
4.81,?100 & up,Rush Hour Morning,Sunny,Single Motor,48
7.02,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.66,?30-39,Off-Peak,Sunny,Single Motor,26
13.72,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.38,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.98,?60-69,Off-Peak,Sunny,Single Motor,48
8.44,?90-99,Rush Hour Morning,Rainy,Single Motor,74
2.2,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.82,?70-79,Off-Peak,Sunny,Tricycle,36
6.4,?100 & up,Rush Hour Morning,Sunny,Single Motor,55
10.59,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.4,?30-39,Off-Peak,Sunny,Tricycle,15
12.23,?40-49,Rush Hour Morning,Sunny,Single Motor,78
7.41,?50-59,Rush Hour Evening,Rainy,Single Motor,67
1.98,?60-69,Off-Peak,Sunny,Tricycle,17
13.16,?90-99,Rush Hour Morning,Sunny,Tricycle,40
4.37,?20-29,Rush Hour Evening,Sunny,Single Motor,39
8.1,?70-79,Off-Peak,Rainy,Single Motor,72
5.5,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.98,?80-89,Rush Hour Evening,Sunny,Single Motor,71
2.7,?30-39,Off-Peak,Rainy,Tricycle,24
10.18,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.77,?50-59,Rush Hour Evening,Sunny,Single Motor,52
14.94,?60-69,Off-Peak,Sunny,Tricycle,42
3.26,?90-99,Rush Hour Morning,Rainy,Single Motor,48
0.93,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.58,?70-79,Off-Peak,Rainy,Single Motor,90
4.12,?100 & up,Rush Hour Morning,Sunny,Single Motor,44
7.84,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.2,?30-39,Off-Peak,Sunny,Single Motor,24
13.48,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.7,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.27,?60-69,Off-Peak,Sunny,Single Motor,44
8.72,?90-99,Rush Hour Morning,Rainy,Single Motor,76
2.59,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.9,?70-79,Off-Peak,Sunny,Tricycle,36
6.1,?100 & up,Rush Hour Morning,Sunny,Single Motor,53
10.88,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.62,?30-39,Off-Peak,Sunny,Tricycle,15
12.79,?40-49,Rush Hour Morning,Sunny,Single Motor,81
7.65,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.82,?60-69,Off-Peak,Sunny,Tricycle,17
13.01,?90-99,Rush Hour Morning,Sunny,Tricycle,40
4.98,?20-29,Rush Hour Evening,Sunny,Single Motor,42
8.93,?70-79,Off-Peak,Rainy,Single Motor,77
5.3,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.3,?80-89,Rush Hour Evening,Sunny,Single Motor,68
2.17,?30-39,Off-Peak,Rainy,Tricycle,24
10.84,?40-49,Rush Hour Morning,Sunny,Tricycle,32
6.53,?50-59,Rush Hour Evening,Sunny,Single Motor,51
14.47,?60-69,Off-Peak,Sunny,Tricycle,41
3.85,?90-99,Rush Hour Morning,Rainy,Single Motor,52
0.55,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.14,?70-79,Off-Peak,Rainy,Single Motor,88
4.64,?100 & up,Rush Hour Morning,Sunny,Single Motor,47
7.68,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.54,?30-39,Off-Peak,Sunny,Single Motor,25
13.95,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.09,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.02,?60-69,Off-Peak,Sunny,Single Motor,42
8.04,?90-99,Rush Hour Morning,Rainy,Single Motor,71
2.45,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.48,?70-79,Off-Peak,Sunny,Tricycle,35
6.98,?100 & up,Rush Hour Morning,Sunny,Single Motor,59
10.44,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.05,?30-39,Off-Peak,Sunny,Tricycle,14
12.67,?40-49,Rush Hour Morning,Sunny,Single Motor,81
7.21,?50-59,Rush Hour Evening,Rainy,Single Motor,66
1.38,?60-69,Off-Peak,Sunny,Tricycle,17
14.32,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.06,?20-29,Rush Hour Evening,Sunny,Single Motor,37
8.42,?70-79,Off-Peak,Rainy,Single Motor,74
5.81,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.5,?80-89,Rush Hour Evening,Sunny,Single Motor,69
2.81,?30-39,Off-Peak,Rainy,Tricycle,24
10.3,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.99,?50-59,Rush Hour Evening,Sunny,Single Motor,54
14.13,?60-69,Off-Peak,Sunny,Tricycle,40
3.13,?90-99,Rush Hour Morning,Rainy,Single Motor,47
1.01,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.94,?70-79,Off-Peak,Rainy,Single Motor,92
4.43,?100 & up,Rush Hour Morning,Sunny,Single Motor,46
7.29,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.77,?30-39,Off-Peak,Sunny,Single Motor,26
13.37,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.93,?50-59,Rush Hour Evening,Sunny,Tricycle,34
5.49,?60-69,Off-Peak,Sunny,Single Motor,45
8.99,?90-99,Rush Hour Morning,Rainy,Single Motor,78
2.05,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.72,?70-79,Off-Peak,Sunny,Tricycle,35
6.65,?100 & up,Rush Hour Morning,Sunny,Single Motor,56
10.08,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.97,?30-39,Off-Peak,Sunny,Tricycle,16
12.03,?40-49,Rush Hour Morning,Sunny,Single Motor,77
7.82,?50-59,Rush Hour Evening,Rainy,Single Motor,69
1.62,?60-69,Off-Peak,Sunny,Tricycle,17
13.25,?90-99,Rush Hour Morning,Sunny,Tricycle,41
4.85,?20-29,Rush Hour Evening,Sunny,Single Motor,41
8.21,?70-79,Off-Peak,Rainy,Single Motor,72
5.12,?100 & up,Rush Hour Morning,Sunny,Tricycle,26
9.81,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.37,?30-39,Off-Peak,Rainy,Tricycle,24
10.41,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.05,?50-59,Rush Hour Evening,Sunny,Single Motor,48
14.71,?60-69,Off-Peak,Sunny,Tricycle,42
3.46,?90-99,Rush Hour Morning,Rainy,Single Motor,50
0.87,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.46,?70-79,Off-Peak,Rainy,Single Motor,90
4.5,?100 & up,Rush Hour Morning,Sunny,Single Motor,46
7.4,?80-89,Rush Hour Evening,Sunny,Tricycle,29
1.3,?30-39,Off-Peak,Sunny,Single Motor,24
13.65,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.56,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.66,?60-69,Off-Peak,Sunny,Single Motor,46
8.34,?90-99,Rush Hour Morning,Rainy,Single Motor,73
2.66,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.02,?70-79,Off-Peak,Sunny,Tricycle,34
6.31,?100 & up,Rush Hour Morning,Sunny,Single Motor,54
10.66,?80-89,Rush Hour Evening,Rainy,Tricycle,41
3.24,?30-39,Off-Peak,Sunny,Tricycle,14
12.87,?40-49,Rush Hour Morning,Sunny,Single Motor,82
7.01,?50-59,Rush Hour Evening,Rainy,Single Motor,65
1.47,?60-69,Off-Peak,Sunny,Tricycle,17
14.09,?90-99,Rush Hour Morning,Sunny,Tricycle,42
4.18,?20-29,Rush Hour Evening,Sunny,Single Motor,38
8.48,?70-79,Off-Peak,Rainy,Single Motor,74
5.94,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.16,?80-89,Rush Hour Evening,Sunny,Single Motor,67
2.94,?30-39,Off-Peak,Rainy,Tricycle,24
10.21,?40-49,Rush Hour Morning,Sunny,Tricycle,30
6.47,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.2,?60-69,Off-Peak,Sunny,Tricycle,40
3.01,?90-99,Rush Hour Morning,Rainy,Single Motor,46
1.06,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.78,?70-79,Off-Peak,Rainy,Single Motor,91
4.7,?100 & up,Rush Hour Morning,Sunny,Single Motor,47
7.89,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.13,?30-39,Off-Peak,Sunny,Single Motor,24
13.13,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.28,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.18,?60-69,Off-Peak,Sunny,Single Motor,43
8.54,?90-99,Rush Hour Morning,Rainy,Single Motor,74
2.86,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.53,?70-79,Off-Peak,Sunny,Tricycle,35
6.23,?100 & up,Rush Hour Morning,Sunny,Single Motor,54
10.95,?80-89,Rush Hour Evening,Rainy,Tricycle,42
3.8,?30-39,Off-Peak,Sunny,Tricycle,16
12.51,?40-49,Rush Hour Morning,Sunny,Single Motor,80
7.54,?50-59,Rush Hour Evening,Rainy,Single Motor,68
1.02,?60-69,Off-Peak,Sunny,Tricycle,17
14.86,?90-99,Rush Hour Morning,Sunny,Tricycle,44
4.6,?20-29,Rush Hour Evening,Sunny,Single Motor,40
8.72,?70-79,Off-Peak,Rainy,Single Motor,76
5.78,?100 & up,Rush Hour Morning,Sunny,Tricycle,28
9.65,?80-89,Rush Hour Evening,Sunny,Single Motor,70
2.5,?30-39,Off-Peak,Rainy,Tricycle,24
10.6,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.8,?50-59,Rush Hour Evening,Sunny,Single Motor,52
14.63,?60-69,Off-Peak,Sunny,Tricycle,42
3.37,?90-99,Rush Hour Morning,Rainy,Single Motor,49
0.66,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.37,?70-79,Off-Peak,Rainy,Single Motor,89
4.22,?100 & up,Rush Hour Morning,Sunny,Single Motor,44
7.13,?80-89,Rush Hour Evening,Sunny,Tricycle,28
1.71,?30-39,Off-Peak,Sunny,Single Motor,26
13.88,?40-49,Rush Hour Morning,Rainy,Tricycle,41
8.63,?50-59,Rush Hour Evening,Sunny,Tricycle,33
5.41,?60-69,Off-Peak,Sunny,Single Motor,44
8.1,?90-99,Rush Hour Morning,Rainy,Single Motor,71
2.13,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.2,?70-79,Off-Peak,Sunny,Tricycle,34
6.56,?100 & up,Rush Hour Morning,Sunny,Single Motor,56
10.2,?80-89,Rush Hour Evening,Rainy,Tricycle,40
3.5,?30-39,Off-Peak,Sunny,Tricycle,15
12.98,?40-49,Rush Hour Morning,Sunny,Single Motor,82
7.99,?50-59,Rush Hour Evening,Rainy,Single Motor,70
1.27,?60-69,Off-Peak,Sunny,Tricycle,17
14.43,?90-99,Rush Hour Morning,Sunny,Tricycle,43
4.46,?20-29,Rush Hour Evening,Sunny,Single Motor,39
8.99,?70-79,Off-Peak,Rainy,Single Motor,77
5.59,?100 & up,Rush Hour Morning,Sunny,Tricycle,27
9.03,?80-89,Rush Hour Evening,Sunny,Single Motor,66
2.28,?30-39,Off-Peak,Rainy,Tricycle,24
10.7,?40-49,Rush Hour Morning,Sunny,Tricycle,31
6.33,?50-59,Rush Hour Evening,Sunny,Single Motor,50
14.02,?60-69,Off-Peak,Sunny,Tricycle,40
3.6,?90-99,Rush Hour Morning,Rainy,Single Motor,50
0.99,?20-29,Rush Hour Evening,Sunny,Tricycle,13
12.28,?70-79,Off-Peak,Rainy,Single Motor,89
4.75,?100 & up,Rush Hour Morning,Sunny,Single Motor,47
7.98,?80-89,Rush Hour Evening,Sunny,Tricycle,30
1.88,?30-39,Off-Peak,Sunny,Single Motor,27
13.1,?40-49,Rush Hour Morning,Rainy,Tricycle,40
8.1,?50-59,Rush Hour Evening,Sunny,Tricycle,32
5.87,?60-69,Off-Peak,Sunny,Single Motor,47
8.8,?90-99,Rush Hour Morning,Rainy,Single Motor,76
2.74,?20-29,Rush Hour Evening,Rainy,Tricycle,23
11.99,?70-79,Off-Peak,Sunny,Tricycle,36
6.02,?100 & up,Rush Hour Morning,Sunny,Single Motor,52
10.51,?80-89,Rush Hour Evening,Rainy,Tricycle,41
